  24 May 2016,   0.00,  9.02
  25 May 2016,   0.00,  10.94
  26 May 2016,   0.00,  7.46
  27 May 2016,   0.00,  10.06
  28 May 2016,   0.00,  9.95
  29 May 2016,   0.00,  8.19
  30 May 2016,   0.00,  14.28
  31 May 2016,   0.00,  8.72
  01 Jun 2016,   0.00,  19.26
  02 Jun 2016,   0.00,  15.31
  03 Jun 2016,   0.00,  11.67
  04 Jun 2016,   0.00,  10.44
  05 Jun 2016,   0.00,  11.60
  06 Jun 2016,   0.00,  12.15
  07 Jun 2016,   0.00,  8.69
  08 Jun 2016,   720.63,  24.69
  09 Jun 2016,   154.92,  29.22
  10 Jun 2016,   285.17,  38.32
  11 Jun 2016,   781.80,  29.75
  12 Jun 2016,   0.00,  17.01
  13 Jun 2016,   0.00,  17.76
  14 Jun 2016,   0.00,  10.59
  15 Jun 2016,   0.00,  7.99
  16 Jun 2016,   0.00,  9.15
  17 Jun 2016,   0.00,  9.39
  18 Jun 2016,   0.00,  11.35
  19 Jun 2016,   0.00,  13.10
  20 Jun 2016,   0.00,  18.59
  21 Jun 2016,   0.00,  27.96
  22 Jun 2016,   0.00,  27.31
  23 Jun 2016,   0.00,  27.86
  24 Jun 2016,   76.02,  36.87
  25 Jun 2016,   97.28,  36.52
  26 Jun 2016,   66.69,  37.54
  27 Jun 2016,   149.01,  35.45
  28 Jun 2016,   334.71,  36.40
  29 Jun 2016,   490.67,  42.37
  30 Jun 2016,   704.21,  48.98
  01 Jul 2016,   579.99,  46.11
  02 Jul 2016,   1002.67,  37.43
  03 Jul 2016,   47.95,  32.35
  04 Jul 2016,   28.76,  27.55
  05 Jul 2016,   48.05,  28.59
  06 Jul 2016,   706.54,  29.66
  07 Jul 2016,   554.42,  39.80
  08 Jul 2016,   220.69,  34.69
  09 Jul 2016,   0.00,  28.34
  10 Jul 2016,   0.00,  28.60
  11 Jul 2016,   0.00,  24.67
  12 Jul 2016,   0.00,  22.69
  13 Jul 2016,   32.82,  31.20
  14 Jul 2016,   415.73,  32.19
  15 Jul 2016,   125.16,  28.47
  16 Jul 2016,   458.03,  35.18
  17 Jul 2016,   45.04,  36.84
  18 Jul 2016,   4.76,  39.98
  19 Jul 2016,   484.35,  39.49
  20 Jul 2016,   163.74,  39.06
  21 Jul 2016,   460.09,  38.65
  22 Jul 2016,   2.04,  38.26
  23 Jul 2016,   592.69,  39.65
  24 Jul 2016,   353.35,  39.27
  25 Jul 2016,   9.72,  40.89
